  6.966247123733872E-002 -4.710176519232893E-002  1.000000000000000E-004
  6.973277442348003E-002 -4.715739617120204E-002  1.000000000000000E-004
  6.979346941125554E-002 -4.721279427208477E-002  1.000000000000000E-004
  6.983926688115101E-002 -4.726592377699979E-002  1.000000000000000E-004
  6.987374767815485E-002 -4.731714261840599E-002  1.000000000000000E-004
  6.989801394987349E-002 -4.736625919607881E-002  1.000000000000000E-004
  6.990634227883594E-002 -4.741064028363188E-002  1.000000000000000E-004
  6.990505839402217E-002 -4.745183980919122E-002  1.000000000000000E-004
  6.989413630890076E-002 -4.748916097936388E-002  1.000000000000000E-004
  6.986914468540280E-002 -4.752018658060212E-002  1.000000000000000E-004
  6.983504222562641E-002 -4.754645904343813E-002  1.000000000000000E-004
  6.978954079566135E-002 -4.756635085680400E-002  1.000000000000000E-004
  6.973513877058951E-002 -4.758036491459008E-002  1.000000000000000E-004
  6.967066485389758E-002 -4.758732077546618E-002  1.000000000000000E-004
  6.959872090213451E-002 -4.758788997849791E-002  1.000000000000000E-004
  6.951900490129989E-002 -4.758143264360098E-002  1.000000000000000E-004
  6.943078604255355E-002 -4.756700217321668E-002  1.000000000000000E-004
  6.933711269581734E-002 -4.754578103129595E-002  1.000000000000000E-004
  6.923616345201342E-002 -4.751648050494345E-002  1.000000000000000E-004
  6.913116549721041E-002 -4.748046517567380E-002  1.000000000000000E-004
  6.902158236419555E-002 -4.743702689191896E-002  1.000000000000000E-004
  6.890760931936595E-002 -4.738598852395445E-002  1.000000000000000E-004
  6.879004210062634E-002 -4.732771089068117E-002  1.000000000000000E-004
  6.867051263559106E-002 -4.726300074057765E-002  1.000000000000000E-004
  6.854907791483462E-002 -4.718950659948839E-002  1.000000000000000E-004
  6.842327383773965E-002 -4.710221863430535E-002  1.000000000000000E-004
  6.829503226057723E-002 -4.700440981307281E-002  1.000000000000000E-004
  6.816415078659234E-002 -4.689619886565135E-002  1.000000000000000E-004
  6.803396280341303E-002 -4.678014540114273E-002  1.000000000000000E-004
  6.790282440671047E-002 -4.665568761709188E-002  1.000000000000000E-004
  6.777505388481773E-002 -4.652585141104369E-002  1.000000000000000E-004
  6.764694933574968E-002 -4.638800820496679E-002  1.000000000000000E-004
  6.752285499143036E-002 -4.624556531150099E-002  1.000000000000000E-004
  6.740254048493910E-002 -4.609892782358506E-002  1.000000000000000E-004
  6.728582516443968E-002 -4.594808185380111E-002  1.000000000000000E-004
  6.717353934019786E-002 -4.579326330946883E-002  1.000000000000000E-004
  6.706509022770116E-002 -4.563436143690038E-002  1.000000000000000E-004
  6.696336454432518E-002 -4.547377323460323E-002  1.000000000000000E-004
  6.686523200450263E-002 -4.530888442204522E-002  1.000000000000000E-004
  6.677317382781603E-002 -4.514182124980289E-002  1.000000000000000E-004
  6.668574410147403E-002 -4.497133135234769E-002  1.000000000000000E-004
  6.660405109050613E-002 -4.479812496621570E-002  1.000000000000000E-004
  6.652830948944598E-002 -4.461364870780528E-002  1.000000000000000E-004
  6.645874799904979E-002 -4.442175568370805E-002  1.000000000000000E-004
  6.639571365758561E-002 -4.422524411733814E-002  1.000000000000000E-004
  6.634073906338168E-002 -4.402587309968731E-002  1.000000000000000E-004
  6.629263763361698E-002 -4.382304848708515E-002  1.000000000000000E-004
